Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2003,IRQ,Iraq,SAU,Saudi Arabia,SWE,Sweden,1
2003,IRQ,Iraq,LEB,Lebanon,NLD,Netherlands,1
2003,IRQ,Iraq,JOR,Jordan,ITA,Italy,21
2003,COD,Dem. Rep. of the Congo,ARE,Egypt,CAN,Canada,1
2003,SOM,Somalia,SYR,Syrian Arab Rep.,SWE,Sweden,1
2003,All others,All others,All others,All others,NZL,New Zealand,158
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,CAN,Canada,29
2003,SUD,Sudan,LEB,Lebanon,CAN,Canada,34
2003,IRQ,Iraq,LEB,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,16
2003,All others,All others,All others,All others,CHL,Chile,87
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,FIN,Finland,6
2003,SUD,Sudan,SYR,Syrian Arab Rep.,NOR,Norway,2
2003,SYR,Syrian Arab Rep.,JOR,Jordan,NZL,New Zealand,8
2003,All others,All others,All others,All others,SWE,Sweden,531
2003,All others,All others,All others,All others,AUS,Australia,979
2003,SYR,Syrian Arab Rep.,JOR,Jordan,SWE,Sweden,2
2003,SOM,Somalia,YEM,Yemen,GBR,United Kingdom of Great Britain and Northern Ireland,3
2003,SYR,Syrian Arab Rep.,SAU,Saudi Arabia,NLD,Netherlands,1
2003,SYR,Syrian Arab Rep.,JOR,Jordan,CAN,Canada,6
2003,IRQ,Iraq,ARE,Egypt,CAN,Canada,1
2003,SOM,Somalia,LEB,Lebanon,FIN,Finland,24
2003,SOM,Somalia,JOR,Jordan,NLD,Netherlands,2
2003,All others,All others,All others,All others,DNK,Denmark,292
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,NOR,Norway,7
2003,SOM,Somalia,LEB,Lebanon,CAN,Canada,21
2003,All others,All others,All others,All others,USA,United States of America,14872
2003,All others,All others,All others,All others,AUT,Austria,5
2003,SOM,Somalia,ARE,Egypt,USA,United States of America,119
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,CHE,Switzerland,1
2003,SOM,Somalia,LEB,Lebanon,GBR,United Kingdom of Great Britain and Northern Ireland,2
2003,IRQ,Iraq,JOR,Jordan,BRA,Brazil,6
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,NLD,Netherlands,7
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,SWE,Sweden,9
2003,IRQ,Iraq,LEB,Lebanon,AUS,Australia,18
2003,All others,All others,All others,All others,ESP,Spain,3
2003,IRQ,Iraq,JOR,Jordan,NZL,New Zealand,32
2003,IRQ,Iraq,KUW,Kuwait,FRA,France,1
2003,IRQ,Iraq,JOR,Jordan,DEU,Germany,3
2003,All others,All others,All others,All others,BRA,Brazil,81
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,15
2003,SUD,Sudan,SYR,Syrian Arab Rep.,CAN,Canada,3
2003,IRQ,Iraq,JOR,Jordan,SWE,Sweden,23
2003,SUD,Sudan,ARE,Egypt,CAN,Canada,566
2003,IRQ,Iraq,JOR,Jordan,IRL,Ireland,1
2003,SOM,Somalia,ARE,Egypt,AUS,Australia,12
2003,All others,All others,All others,All others,FIN,Finland,229
2003,SOM,Somalia,JOR,Jordan,NOR,Norway,6
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,DNK,Denmark,1
2003,IRQ,Iraq,JOR,Jordan,NOR,Norway,3
2003,SUD,Sudan,LEB,Lebanon,AUS,Australia,14
2003,SOM,Somalia,LEB,Lebanon,USA,United States of America,8
2003,SUD,Sudan,LEB,Lebanon,NOR,Norway,86
2003,All others,All others,All others,All others,CAN,Canada,1716
2003,AFG,Afghanistan,SYR,Syrian Arab Rep.,USA,United States of America,4
2003,SUD,Sudan,ARE,Egypt,FIN,Finland,232
2003,SYR,Syrian Arab Rep.,SAU,Saudi Arabia,NOR,Norway,1
2003,IRQ,Iraq,SYR,Syrian Arab Rep.,IRL,Ireland,6
2003,All others,All others,All others,All others,FRA,France,3
2003,SOM,Somalia,JOR,Jordan,SWE,Sweden,1
2003,IRQ,Iraq,JOR,Jordan,AUS,Australia,72
2003,SOM,Somalia,SYR,Syrian Arab Rep.,CAN,Canada,1
2003,IRQ,Iraq,YEM,Yemen,NLD,Netherlands,3
2003,All others,All others,All others,All others,CHE,Switzerland,2
2003,SUD,Sudan,ARE,Egypt,USA,United States of America,1830
2003,SYR,Syrian Arab Rep.,JOR,Jordan,USA,United States of America,4
2003,SUD,Sudan,JOR,Jordan,USA,United States of America,37
2003,ERT,Eritrea,ARE,Egypt,USA,United States of America,14
2003,All others,All others,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,147
2003,IRQ,Iraq,JOR,Jordan,CAN,Canada,106
