Footnote,Year,"Country of origin (ISO)","Country of asylum (ISO)","Population type"
"This includes 65,200 applications in Costa Rica whereby Nicaraguans started their applications during the first six months of this year by obtaining an appointment to formalize their asylum claim. Of these, 38,800 claims were formalized, 12,700 remained to be formalized (i.e. individuals with an appointment to complete the application procedure) and 13,700 appointments were otherwise closed.",2022,,CRI,ASY
"Includes 33,200 Iraqi refugees registered with UNHCR in Jordan. The Government estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2015,IRQ,JOR,REF
"Refugee figure for Iraqis and Stateless persons in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 18,300 Iraqis at the end of 2015.",2015,IRQ,SYR,REF
"Refugees includes people in refugee-like situations","2019 - 2022",,ARM,REF
"Refers to Palestinians under the UNHCR mandate only.","2015 - 2016",PSE,DZA,REF
"Refugee population refers to the end of 2014.",2015,IDN,PNG,REF
"The 300,000 Vietnamese refugees are well integrated and in practice receive protection from the Government of the People’s Republic of China.","2015 - 2016",VNM,CHN,REF
"Refugee population refers to the end of 2015.",2016,COD,AGO,REF
"Pending asylum applications refer to the end of 2015.",2016,,AGO,ASY
"The 1.5 million refugees includes around 1,252,800 registered refugees, around 129,700 unregistered members of registered families who were being verified at the time of reporting and were recorded through the documentation renewal and information verification exercise (DRIVE) and around 108,000 Afghans who arrived in the country on or after 1 January 2021.",2021,,PAK,REF
"Asylum applications which are reported as cases can be multiplied overall by average number of person per case of 1.5 when summarising the data by country of asylum, but not origin.  This is due to the significant variance in the average case size by country of origin.",2020,,USA,ASY
"The data do not include 736 Syrians who arrived under admission programmes established by the German Laender.",2017,,DEU,REF
"Refugee figure for Iraqis in the Syrian Arab Republic was a Government estimate. UNHCR is assisting 16,900 Iraqis at the end of 2016.",2016,IRQ,SYR,REF
"Asylum applications which are reported as cases can be multiplied overall by average number of person per case of 3 when summarising the data by country of asylum, but not origin.  This is due to the significant variance in the average case size by country of origin.",2018,,KAZ,ASY
"The total figure includes 200,000 persons originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.",2015,MMR,BGD,REF
"This includes around 770,500 refugees and 27,800 UNHCR pre-registered new arrivals, reported as refugee-like. Based on information received from the Government in October 2020, the Islamic Republic of Iran hosts 800,000 refugees, of which 780,000 are Afghan Amayesh cardholders and 20,000 are Iraqi Hoviat cardholders. These cards effectively offer refugee status to their holders. UNHCR has been in continuous engagement with the authorities in relation to these figures ever since. In view of the absence of updated data, UNHCR sought to estimate the changes in the refugee population considering the natural growth and onward movements, estimating the total to be some 770,000 refugees (out of which 750,000 were Afghans and 20,000 Iraqis).",2021,,IRN,REF
"Refugee figure for Iraqis in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 16,900 Iraqis at the end of 2016. The refugee population in Jordan includes 33,100 Iraqis registered with UNHCR. The Government of Jordan estimated the number of Iraqis at 400,000 individuals at the end of March 2015. This includes refugees and other categories of Iraqis.",2016,IRQ,JOR,REF
"An adjustment to 2015 end of year figures, in particular for the number of asylum applications pending on appeal and review, has resulted in a substantially lower figure for numbers of asylum-seekers reported in South Africa.",2015,,ZAF,ASY
"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 12,400 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",2021,,SAU,ASY
"The 303,100 Vietnamese refugees are well integrated and in practice receive protection from the Government of China.","2019 - 2021",,CHN,REF
"Refugee figure for Iraqis was a Government estimate. UNHCR has registered and is assisting 16,300 Iraqis at the end of 2017. Figure for stateless persons is an estimate.",2017,IRQ,SYR,REF
